## LP Shop - ERD for Draw.io Import

# Định dạng: Entity,Attribute,Type,Constraints,Description

## USER Collection
POINT_TRANSACTION,moTa,String,required,Transaction description
POINT_TRANSACTION,donHang,ObjectId,FK,ref Order (optional)
POINT_TRANSACTION,soDuSau,Number,required,Balance after (min: 0)
POINT_TRANSACTION,createdAt,Date,auto,Timestamp
POINT_TRANSACTION,updatedAt,Date,auto,Timestamp

## NEWSLETTER Collection
NEWSLETTER,_id,ObjectId,PK,Primary Key (Standalone)
NEWSLETTER,email,String,UK,Unique email (required)
NEWSLETTER,subscribedAt,Date,default now,Subscription time
NEWSLETTER,isActive,Boolean,default true,Active status
NEWSLETTER,createdAt,Date,auto,Timestamp
NEWSLETTER,updatedAt,Date,auto,Timestamp

## BRAND Collection
BRAND,_id,ObjectId,PK,Primary Key (Standalone)
BRAND,ten,String,UK,Unique name (required)
BRAND,slug,String,UK,Unique slug (auto-generated)
BRAND,moTa,String,optional,Description
BRAND,logo,String,optional,Logo URL
BRAND,thuTu,Number,default 0,Display order
BRAND,trangThai,String,enum,active | inactive
BRAND,createdAt,Date,auto,Timestamp
BRAND,updatedAt,Date,auto,Timestamp

## RELATIONSHIPS (Entity1,Entity2,Cardinality,Field)
USER,ORDER,1:N,nguoiDung
USER,REVIEW,1:N,nguoiDung
USER,NOTIFICATION,1:N,nguoiNhan
USER,POINT_TRANSACTION,1:N,nguoiDung
USER,PRODUCT,N:N,danhSachYeuThich[]
USER,VOUCHER,N:N,nguoiDungApDung[]
PRODUCT,CATEGORY,N:1,danhMuc
PRODUCT,REVIEW,1:N,sanPham
PRODUCT,ORDER,N:N,sanPham[] (embedded)
ORDER,VOUCHER,N:1,maGiamGia.voucher
ORDER,NOTIFICATION,1:N,donHang
ORDER,POINT_TRANSACTION,1:N,donHang
REVIEW,ORDER,N:1,donHang
REVIEW,USER,N:1,phanHoi.nguoiPhanHoi
REVIEW,NOTIFICATION,1:N,danhGia
CATEGORY,CATEGORY,1:N,danhMucCha (self-reference)
